"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"33EDBCBC-EEAD-4632-9AC7-7163284A0184","","801","7684-SE Regional Tournament (C","10/20/2018 0:00","11/18/2018 0:00","10.5","9997684","8","3","4140"
"3477FF95-E100-4F0A-9BF1-7F808A4DC881","","513","7615-NEBA","10/20/2018 0:00","12/01/2018 0:00","2","9997615","8","1","4140"
"34F9993D-3438-4253-87E8-D4EFDDB58F11","","889","5202-TUES. HDCP.","08/14/2018 0:00","05/21/2019 0:00","15.25","5202","2","3","4115"
"35201F32-0DE6-4B54-B4A0-ACED39057651","","857","5302-WEDNESDAY NIGHT QUAD","08/15/2018 0:00","05/15/2019 0:00","11.75","5302","3","3","4115"
"35663846-0176-48C9-B279-CED61A78A953","","373","9500-Lights Out Bowling Club","10/05/2018 0:00","12/28/2018 0:00","12","9500","5","3","4115"
"358931AB-0286-490F-B9C1-C85FD00A4C02","","844","5305-Ann's Angels","08/22/2018 0:00","05/01/2019 0:00","13.15","5305","3","3","4115"
"359E6F9C-FE35-495A-9A6D-9A84960431D4","","852","5409-Edison High School GMC","11/01/2018 0:00","03/20/2019 0:00","3.2","5409","1","1","4125"
"359E6F9C-FE35-495A-9A6D-9A84960431D4","","852","5409-Edison High School GMC","11/01/2018 0:00","03/20/2019 0:00","3.2","5409","2","1","4125"
"359E6F9C-FE35-495A-9A6D-9A84960431D4","","852","5409-Edison High School GMC","11/01/2018 0:00","03/20/2019 0:00","3.2","5409","3","1","4125"
"359E6F9C-FE35-495A-9A6D-9A84960431D4","","852","5409-Edison High School GMC","11/01/2018 0:00","03/20/2019 0:00","3.2","5409","4","1","4125"
"359E6F9C-FE35-495A-9A6D-9A84960431D4","","852","5409-Edison High School GMC","11/01/2018 0:00","03/20/2019 0:00","3.2","5409","5","1","4125"
"36238473-A3E1-4C42-9BAD-99CBBD342553","","203","5504-Westwinds","10/19/2018 0:00","03/15/2019 0:00","11.5","5504","5","3","4130"
"368E8E86-2BD8-4AD9-8A85-CA00F054CA4B","","231","5103-Mens Industrial Trio 2018","08/13/2018 0:00","05/06/2019 0:00","5.75","5103","1","3","4115"
"36A46D66-32DD-4929-9D7A-7FB22D357CAF","","396","7709-BOGH Tournament","10/21/2018 0:00","12/16/2018 0:00","9","9997709","8","3","4140"
"372E040E-C609-4D77-80CB-3E48267AB44F","","801","7736-Youth Tournament","10/28/2018 0:00","12/02/2018 0:00","2","9997736","8","1","4140"
"37558D51-68B8-4E70-8D19-A9A085BDFC2A","","238","5503-Special Needs Circle of F","09/28/2018 0:00","01/04/2019 0:00","6","5503","5","2","4125"
"37BBC7D7-264B-467C-A52F-E2D3C8000470","","835","5703-Ball-Mac (Lousy)","09/23/2018 0:00","01/06/2019 0:00","12.25","5703","7","3","4115"
"38E0EEAF-46A4-49E8-A2A2-51E0A7D57E4F","","852","5407-South River High School G","10/30/2018 0:00","03/18/2019 0:00","3.2","5407","1","1","4125"
"38E0EEAF-46A4-49E8-A2A2-51E0A7D57E4F","","852","5407-South River High School G","10/30/2018 0:00","03/18/2019 0:00","3.2","5407","2","1","4125"
"38E0EEAF-46A4-49E8-A2A2-51E0A7D57E4F","","852","5407-South River High School G","10/30/2018 0:00","03/18/2019 0:00","3.2","5407","3","1","4125"
"390612D5-78D1-4A94-AEEB-1E2D71EEA499","","883","5201-TUESDAY MORNING STARS","08/07/2018 0:00","05/07/2019 0:00","10.5","5201","2","3","4115"
"39CF760F-DC45-420F-8E46-1F2DF7E2DB45","","384","5202-Sunlife AM","10/23/2018 0:00","04/02/2019 0:00","7.5","5202","2","3","4130"
"3A2FD361-A208-451D-ADDB-6E95A0E600FC","","183","5100-JR/Adult Scholarship","09/03/2018 0:00","01/28/2019 0:00","9","5100","1","3","4125"
"3AAC4251-0445-412A-AFF5-9E72F64BA12A","","873","3501-CHRISTMAS CLUB","12/22/2017 0:00","11/30/2018 0:00","8.5","3501","5","3","4115"
"3AC6FA7D-243C-4E8B-9187-0535DC915774","","64","5604-PLAZA MEN 2018","08/25/2018 0:00","05/25/2019 0:00","12","5604","6","3","4115"
"3ACAC388-BE39-4B16-B203-3B3A59460DDC","","211","5307-St. Louise Men's League","10/24/2018 0:00","04/03/2019 0:00","11.25","5307","3","3","4115"
"3B3AF670-5EB2-4011-8663-2DAD7339B71E","","830","5602-SATURDAY MAJORS","08/25/2018 0:00","04/27/2019 0:00","9","5602","6","3","4125"
"3B511958-FB6E-4CA6-9207-0A65AF3DD85E","","517","5302-THW Construction Doubles ","10/03/2018 0:00","04/24/2019 0:00","9.95","5302","3","3","4115"
